session_id,channel,folder link
NV-ES-SS16-CONVO31,SPK07,https://drive.google.com/drive/folders/1Zr7sqldkKfiZ7jG3XyEgl-cxNvN9Lm0n
NV-AR-SS11-CONVO28,SPK01,https://drive.google.com/drive/folders/1ZMM2yKFMLZJT-6f3yLY6Nd2KQPKnEe4z
NV-AR-SS12-CONVO30,SPK05,https://drive.google.com/drive/folders/16tzFmmk18kylHxuHNfTgMsO2-IkgKsIr
NV-ES-SS17-CONVO36,SPK04,https://drive.google.com/drive/folders/1BpUI4ZAc4B20HWKTKUdER826EeGiTJq6
NV-ES-SS17-CONVO36,SPK03,https://drive.google.com/drive/folders/1BpUI4ZAc4B20HWKTKUdER826EeGiTJq6
NV-FR-SS22-CONVO26,SPK01,https://drive.google.com/drive/folders/10Gz9XbqAr9dmqy86-0nzFFWJRNDP36_G
NV-FR-SS23-CONVO28,SPK07,https://drive.google.com/drive/folders/1RL3hmRVYnEUNN0IWQeN2W1xgFg8FoYAl
NV-FR-SS27-CONVO34,SPK01,https://drive.google.com/drive/folders/1bH9C-cvpYxDT-pyN-v-GDBFZVl8kh5NW
NV-FR-SS28-CONVO35,SPK04,https://drive.google.com/drive/folders/1O02XE3qWIP5nQUN7soJM3qbN0WgciMxm
NV-FR-SS28-CONVO35,SPK01,https://drive.google.com/drive/folders/1O02XE3qWIP5nQUN7soJM3qbN0WgciMxm
NV-GR-SS09-CONVO18,SPK05,https://drive.google.com/drive/folders/1_0SUa2obeypV3wIVnPJIt8mBPgcS-et0
NV-EN-SS15-CONVO37,SPK05,https://drive.google.com/drive/folders/1B405TtmhaUQWdoxDMaJHSg3YBB33pMyC
NV-GR-SS11-CONVO20,SPK04,https://drive.google.com/drive/folders/1tqM5yzah_ldbj7b67YHWCuEBc2lhlTDQ
NV-GR-SS11-CONVO20,SPK02,https://drive.google.com/drive/folders/1tqM5yzah_ldbj7b67YHWCuEBc2lhlTDQ
NV-GR-SS13-CONVO23,SPK03,https://drive.google.com/drive/folders/1Sgg06tEtFtmmiz5hsN8PzSB0i9JoEcgN
NV-ES-SS12-CONVO27,SPK04,https://drive.google.com/drive/folders/1AdAlzvJQEALx3oY2-Lcgn8_tm2tRVyBu
NV-GR-SS14-CONVO24,SPK02,https://drive.google.com/drive/folders/1_riklns8ppq0ZakWciJH3H8_BDB2h9Z6
NV-GR-SS14-CONVO24,SPK01,https://drive.google.com/drive/folders/1_riklns8ppq0ZakWciJH3H8_BDB2h9Z6
NV-GR-SS14-CONVO24,SPK03,https://drive.google.com/drive/folders/1_riklns8ppq0ZakWciJH3H8_BDB2h9Z6
NV-GR-SS14-CONVO25,SPK02,https://drive.google.com/drive/folders/1hEqY_riVVVyNLvnDVV50x5LEohdudTPg
NV-GR-SS14-CONVO25,SPK01,https://drive.google.com/drive/folders/1hEqY_riVVVyNLvnDVV50x5LEohdudTPg
NV-GR-SS15-CONVO26,SPK03,https://drive.google.com/drive/folders/1iPN0OWMYk-ImtMDFR3kdEa2ABsbWlWd8
NV-ES-SS12-CONVO28,SPK04,https://drive.google.com/drive/folders/10xZ6a0hL8_lfhnIezbEsRn6sKS8qbS1V
NV-GR-SS19-CONVO32,SPK04,https://drive.google.com/drive/folders/1ruBLqWFyhIF75sBOBsyQMF549mISYooD
NV-GR-SS19-CONVO32,SPK03,https://drive.google.com/drive/folders/1ruBLqWFyhIF75sBOBsyQMF549mISYooD
NV-GR-SS19-CONVO32,SPK06,https://drive.google.com/drive/folders/1ruBLqWFyhIF75sBOBsyQMF549mISYooD
NV-IT-SS11-CONVO24,SPK02,https://drive.google.com/drive/folders/1L4yW1BA-vVkzMGRlPnLlDDZnp95i3pFx
NV-IT-SS12-CONVO30,SPK04,https://drive.google.com/drive/folders/1KpYnCBm3Hij7tHOFgnTWRFDFzcYe6_tu
NV-IT-SS12-CONVO30,SPK05,https://drive.google.com/drive/folders/1KpYnCBm3Hij7tHOFgnTWRFDFzcYe6_tu
NV-IT-SS12-CONVO31,SPK05,https://drive.google.com/drive/folders/178aMTgyjSJ8yF0BYuhOwHjbHNvRsaHEh
NV-IT-SS12-CONVO31,SPK01,https://drive.google.com/drive/folders/178aMTgyjSJ8yF0BYuhOwHjbHNvRsaHEh
NV-IT-SS12-CONVO31,SPK04,https://drive.google.com/drive/folders/178aMTgyjSJ8yF0BYuhOwHjbHNvRsaHEh
NV-IT-SS12-CONVO31,SPK02,https://drive.google.com/drive/folders/178aMTgyjSJ8yF0BYuhOwHjbHNvRsaHEh
NV-IT-SS12-CONVO32,SPK04,https://drive.google.com/drive/folders/1LpZUQ7pv5Qi5Rm9OWUTUgfJQmFZxGzZ1
NV-IT-SS12-CONVO32,SPK02,https://drive.google.com/drive/folders/1LpZUQ7pv5Qi5Rm9OWUTUgfJQmFZxGzZ1
NV-IT-SS12-CONVO32,SPK05,https://drive.google.com/drive/folders/1LpZUQ7pv5Qi5Rm9OWUTUgfJQmFZxGzZ1
NV-IT-SS13-CONVO33,SPK01,https://drive.google.com/drive/folders/1uLPmwdfjorKMXVu9azPMeU58wjWQ6Vcg
NV-IT-SS14-CONVO37,SPK08,https://drive.google.com/drive/folders/1q73EIsyr1aFJDwI06zZ-_u4sqjXWnj2f
NV-IT-SS14-CONVO37,SPK04,https://drive.google.com/drive/folders/1q73EIsyr1aFJDwI06zZ-_u4sqjXWnj2f
NV-IT-SS15-CONVO40,SPK05,https://drive.google.com/drive/folders/1t_DoeQWpJ0N8lbWuMGBdY0E220fbAGQR
NV-IT-SS16-CONVO41,SPK05,https://drive.google.com/drive/folders/1pVgInETG26qqSGoMF1PRbkY04fcRFxQ6
NV-JA-SS10-CONVO29,SPK01,https://drive.google.com/drive/folders/1TAPqzPiuAdb5LtFmfno5l6UauC7hxRsh
NV-JA-SS11-CONVO31,SPK06,https://drive.google.com/drive/folders/1i50yaga3fkCqftORu8SumRlURjKoNKoV
NV-JA-SS11-CONVO32,SPK06,https://drive.google.com/drive/folders/1Jo7Sy9PNpNaRuSLkVyFMzUPgoGOd_OJr
NV-ES-SS15-CONVO16,SPK03,https://drive.google.com/drive/folders/1MKpJJHDcK8Acfg37hgQbIaagciwGctOV
NV-GR-SS13-CONVO23,SPK02,https://drive.google.com/drive/folders/1Sgg06tEtFtmmiz5hsN8PzSB0i9JoEcgN
NV-KO-SS13-CONVO30,SPK01,https://drive.google.com/drive/folders/1BAoihetLOlQkUdNwyreR1I2hiShlB2R2
NV-KO-SS17-CONVO38,SPK04,https://drive.google.com/drive/folders/1_NDi5i4rROtaRMxOLHvsdm05zmPscwiG
NV-PT-SS08-CONVO20,SPK05,https://drive.google.com/drive/folders/1O-Z3Z2x37Yzgrpg4I-CI67iHxjD1lylc
NV-PT-SS08-CONVO21,SPK01,https://drive.google.com/drive/folders/1Eyj_X-E-MZTCPyQRHSNMEjBbudb5hJbE
NV-PT-SS08-CONVO21,SPK05,https://drive.google.com/drive/folders/1Eyj_X-E-MZTCPyQRHSNMEjBbudb5hJbE
NV-PT-SS08-CONVO22,SPK05,https://drive.google.com/drive/folders/1KvQhfRoej7HROZC-fC80wnHgm76CJKVE
NV-PT-SS08-CONVO22,SPK04,https://drive.google.com/drive/folders/1KvQhfRoej7HROZC-fC80wnHgm76CJKVE
NV-PT-SS08-CONVO23,SPK02,https://drive.google.com/drive/folders/1SNNlAu_Uhmx1OhNeGrAavYdH87dsh6S0
NV-PT-SS08-CONVO23,SPK04,https://drive.google.com/drive/folders/1SNNlAu_Uhmx1OhNeGrAavYdH87dsh6S0
NV-PT-SS09-CONVO24,SPK03,https://drive.google.com/drive/folders/1wzSHsy0Rff1pdVw_AjX5Edr9qcfpYKnV
NV-PT-SS10-CONVO26,SPK05,https://drive.google.com/drive/folders/1djZsSGMtSsuvW1JsFbtm16eEqsSh-vye
NV-PT-SS10-CONVO26,SPK07,https://drive.google.com/drive/folders/1djZsSGMtSsuvW1JsFbtm16eEqsSh-vye
NV-PT-SS11-CONVO28,SPK04,https://drive.google.com/drive/folders/12Q0OFR38AmqWjD0YPliz_2MUYGo6kAVU
NV-PT-SS11-CONVO28,SPK03,https://drive.google.com/drive/folders/12Q0OFR38AmqWjD0YPliz_2MUYGo6kAVU
NV-PT-SS11-CONVO28,SPK01,https://drive.google.com/drive/folders/12Q0OFR38AmqWjD0YPliz_2MUYGo6kAVU
NV-PT-SS11-CONVO28,SPK02,https://drive.google.com/drive/folders/12Q0OFR38AmqWjD0YPliz_2MUYGo6kAVU
NV-PT-SS11-CONVO28,SPK06,https://drive.google.com/drive/folders/12Q0OFR38AmqWjD0YPliz_2MUYGo6kAVU
NV-PT-SS11-CONVO28,SPK05,https://drive.google.com/drive/folders/12Q0OFR38AmqWjD0YPliz_2MUYGo6kAVU
NV-PT-SS11-CONVO29,SPK03,https://drive.google.com/drive/folders/17scAtCOwWPX1dC7BII1btWl9VN9Qkx5z
NV-PT-SS11-CONVO29,SPK05,https://drive.google.com/drive/folders/17scAtCOwWPX1dC7BII1btWl9VN9Qkx5z
NV-PT-SS11-CONVO29,SPK06,https://drive.google.com/drive/folders/17scAtCOwWPX1dC7BII1btWl9VN9Qkx5z
NV-PT-SS11-CONVO29,SPK01,https://drive.google.com/drive/folders/17scAtCOwWPX1dC7BII1btWl9VN9Qkx5z
NV-PT-SS13-CONVO31,SPK04,https://drive.google.com/drive/folders/1rS2_s1gFgtVych7x0Kpu-RjCcI2uMVEe
NV-PT-SS13-CONVO31,SPK03,https://drive.google.com/drive/folders/1rS2_s1gFgtVych7x0Kpu-RjCcI2uMVEe
NV-PT-SS13-CONVO32,SPK02,https://drive.google.com/drive/folders/17Xao_eSibWfo6_PW5WaouYofq2sEA644
NV-PT-SS13-CONVO32,SPK03,https://drive.google.com/drive/folders/17Xao_eSibWfo6_PW5WaouYofq2sEA644
NV-PT-SS13-CONVO32,SPK01,https://drive.google.com/drive/folders/17Xao_eSibWfo6_PW5WaouYofq2sEA644
NV-PT-SS18-CONVO38,SPK04,https://drive.google.com/drive/folders/10bHyMXksh8hSwF3QAJTVHlJ8eJIxa0EN
NV-PT-SS18-CONVO38,SPK03,https://drive.google.com/drive/folders/10bHyMXksh8hSwF3QAJTVHlJ8eJIxa0EN
NV-PT-SS18-CONVO39,SPK03,https://drive.google.com/drive/folders/1Gpc0-Eeu7IG960Y0q0ZORYXVbtjnYkgT
NV-PT-SS18-CONVO39,SPK02,https://drive.google.com/drive/folders/1Gpc0-Eeu7IG960Y0q0ZORYXVbtjnYkgT
NV-PT-SS19-CONVO40,SPK02,https://drive.google.com/drive/folders/11Gmh5pQ6ojMEFt2M2fmEIBArIxLI_YJS
NV-RU-SS03-CONVO17,SPK06,https://drive.google.com/drive/folders/1xZ1frSqrO6VogefqVOJ_oWMerQCRwgBb
NV-RU-SS03-CONVO17,SPK01,https://drive.google.com/drive/folders/1xZ1frSqrO6VogefqVOJ_oWMerQCRwgBb
NV-RU-SS03-CONVO17,SPK03,https://drive.google.com/drive/folders/1xZ1frSqrO6VogefqVOJ_oWMerQCRwgBb
NV-RU-SS05-CONVO30,SPK03,https://drive.google.com/drive/folders/1x8hcOQCXbvdK5UtJksxVzKwuKmViTpfw
NV-RU-SS05-CONVO30,SPK06,https://drive.google.com/drive/folders/1x8hcOQCXbvdK5UtJksxVzKwuKmViTpfw
NV-RU-SS06-CONVO10,SPK04,https://drive.google.com/drive/folders/1qRxpxecmQYLNAlquPi63lId-PBXvQcOF
NV-RU-SS11-CONVO21,SPK03,https://drive.google.com/drive/folders/1DqiG8LAI0mEXlZ95L-OC8KZUQUYr7iWr
NV-RU-SS11-CONVO24,SPK04,https://drive.google.com/drive/folders/1aXanLala9cZTUPiw200zoBTJL49YcB3W
NV-ES-SS16-CONVO31,SPK02,https://drive.google.com/drive/folders/1Zr7sqldkKfiZ7jG3XyEgl-cxNvN9Lm0n
NV-KO-SS08-CONVO21,SPK02,https://drive.google.com/drive/folders/19A_CfPIyZK1fkQaLJLX0Q73HThFb1BAm
NV-RU-SS11-CONVO25,SPK04,https://drive.google.com/drive/folders/1uhRCkanUdc5tpU4xYOhlqU1vbMJrXgmu
NV-RU-SS14-CONVO33,SPK04,https://drive.google.com/drive/folders/1cssaIp4QjVtvQgM4-QNmYhTc_FDinGAH
NV-RU-SS14-CONVO34,ayanfeoluwa.a@turing.com.wav,https://drive.google.com/drive/folders/1cCbXgbqJr09mhfGrth2UE2l7E0h4tkKL
NV-JA-SS15-CONVO45,miyuki.s@turing.com.wav,https://drive.google.com/drive/folders/1c-kQnyp0DIlHx9qOhxSoQmT4K88zWWM0
NV-JA-SS16-CONVO46,daiki.m2@turing.com.wav,https://drive.google.com/drive/folders/106uXqZNw80C6ZpChc8H_8leH4QT_3M0C
NV-JA-SS16-CONVO46,prakash.s2@turing.com.wav,https://drive.google.com/drive/folders/106uXqZNw80C6ZpChc8H_8leH4QT_3M0C
NV-ES-SS18-CONVO37,roberto.n1@turing.com.wav,https://drive.google.com/drive/folders/1i3Ae3OMGmP33I2tX91miT9P2o-hz8iKI
NV-ES-SS18-CONVO37,bryan.a@turing.com.wav,https://drive.google.com/drive/folders/1i3Ae3OMGmP33I2tX91miT9P2o-hz8iKI
NV-PT-SS20-CONVO43,thiago.c1@turing.com.wav,https://drive.google.com/drive/folders/1lsA3KZlx5LGqLtfKSjoDeX0TvK1uUJND
NV-GR-SS10-CONVO19,talha.j1@turing.com.wav,https://drive.google.com/drive/folders/1DMUTWQhssgBQGjaTsMTCz_magc7BgjPO
NV-GR-SS10-CONVO19,leon.h@turing.com.wav,https://drive.google.com/drive/folders/1DMUTWQhssgBQGjaTsMTCz_magc7BgjPO
NV-JA-SS14-CONVO41,daiki.m2@turing.com.wav,
NV-JA-SS14-CONVO41,takehiko.s@turing.com.wav,https://drive.google.com/drive/folders/1MkfO4vqtv61kZ4ShzTQuZqYtcyPfQju3
NV-JA-SS15-CONVO44,daiki.m2@turing.com.wav,https://drive.google.com/drive/folders/1nMvWi9MfWx9K02Lj7CBrZYxOhpXQFuWA
NV-JA-SS14-CONVO42,daiki.m2@turing.com.wav,https://drive.google.com/drive/folders/1QaQEWaReiC3wJceK3p1FAPPP7YyPdK_7
NV-JA-SS14-CONVO42,takehiko.s@turing.com.wav,https://drive.google.com/drive/folders/1QaQEWaReiC3wJceK3p1FAPPP7YyPdK_7
NV-PT-SS20-CONVO44,thiago.c1@turing.com.wav,https://drive.google.com/drive/folders/136Ldrq2zVEd-qaRvNsE-s9-nfmZgcRH8
NV-PT-SS20-CONVO44,marcio.k@turing.com.wav,https://drive.google.com/drive/folders/136Ldrq2zVEd-qaRvNsE-s9-nfmZgcRH8
NV-PT-SS20-CONVO44,germana.q@turing.com.wav,https://drive.google.com/drive/folders/136Ldrq2zVEd-qaRvNsE-s9-nfmZgcRH8
NV-JA-SS15-CONVO43,daiki.m2@turing.com.wav,https://drive.google.com/drive/folders/1uAFSWSchFVKrfIuxNw0CfXzrISyJ1vtk
NV-JA-SS15-CONVO43,takehiko.s@turing.com.wav,https://drive.google.com/drive/folders/1uAFSWSchFVKrfIuxNw0CfXzrISyJ1vtk
NV-JA-SS15-CONVO43,miyuki.s@turing.com.wav,https://drive.google.com/drive/folders/1uAFSWSchFVKrfIuxNw0CfXzrISyJ1vtk
NV-EN-SS28-CONVO59,igayi.s@turing.com.wav,https://drive.google.com/drive/folders/1EnFdAJ9T3VabeyFhCeQ8UOyPQsl4LUHv
NV-FR-SS32-CONVO42,omar.a6@turing.com.wav,https://drive.google.com/drive/folders/1lRNcp1e-RMUZcWCxGiZNcgweSJ5NEOH8
NV-GR-SS10-CONVO19,eszter.a@turing.com.wav,https://drive.google.com/drive/folders/1DMUTWQhssgBQGjaTsMTCz_magc7BgjPO
NV-PT-SS20-CONVO44,camila.o@turing.com.wav,https://drive.google.com/drive/folders/136Ldrq2zVEd-qaRvNsE-s9-nfmZgcRH8
